"arrest_year","age_group","booked","search_reason","perceived_race","minor"
2020,"Aged 35 to 44 years",1,0,"White","Not a youth"
2020,"Aged 35 to 44 years",1,0,"White","Not a youth"
2020,"Aged 35 to 44 years",1,0,"Unknown or Legacy","Not a youth"
2021,"Aged 25 to 34 years",0,0,"Black","Not a youth"
2021,"Aged 25 to 34 years",1,0,"South Asian","Not a youth"
2021,"Aged 25 to 34 years",1,0,"South Asian","Not a youth"
2021,"Aged 25 to 34 years",1,0,"Black","Not a youth"
2021,"Aged 25 to 34 years",0,0,"Black","Not a youth"
2021,"Aged 25 to 34 years",0,0,"Black","Not a youth"
2021,"Aged 25 to 34 years",1,0,"Black","Not a youth"
2021,"Aged 25 to 34 years",1,0,"Black","Not a youth"
2021,"Aged 25 to 34 years",0,0,"Black","Not a youth"
2021,"Aged 25 to 34 years",1,1,"Black","Not a youth"
2021,"Aged 45 to 54 years",0,0,"Indigenous","Not a youth"
2020,"Aged 25 to 34 years",1,1,"Black","Not a youth"
2020,"Aged 25 to 34 years",0,0,"Unknown or Legacy","Not a youth"
2020,"Aged 25 to 34 years",1,0,"Unknown or Legacy","Not a youth"
2020,"Aged 25 to 34 years",0,0,"Unknown or Legacy","Not a youth"
2020,"Aged 25 to 34 years",1,0,"Unknown or Legacy","Not a youth"
2020,"Aged 25 to 34 years",0,0,"Middle-Eastern","Not a youth"
2021,"Aged 25 to 34 years",1,0,"Middle-Eastern","Not a youth"
2020,"Aged 25 to 34 years",0,1,"Unknown or Legacy","Not a youth"
2020,"Aged 45 to 54 years",1,0,"Black","Not a youth"
2021,"Aged 25 to 34 years",1,0,"White","Not a youth"
2020,"Aged 25 to 34 years",0,0,"Black","Not a youth"
2020,"Aged 35 to 44 years",1,0,"White","Not a youth"
2020,"Aged 35 to 44 years",1,0,"White","Not a youth"
2021,"Aged 25 to 34 years",0,0,"Black","Not a youth"
2021,"Aged 55 to 64 years",0,0,"White","Not a youth"
2020,"Aged 25 to 34 years",0,0,"South Asian","Not a youth"
2020,"Aged 25 to 34 years",1,0,"Black","Not a youth"
2021,"Aged 25 to 34 years",0,0,"Black","Not a youth"
2020,"Aged 35 to 44 years",1,0,"South Asian","Not a youth"
2021,"Aged 35 to 44 years",1,1,"White","Not a youth"
2021,"Aged 25 to 34 years",0,0,"White","Not a youth"
2020,"Aged 25 to 34 years",0,0,"White","Not a youth"
2021,"Aged 25 to 34 years",0,0,"White","Not a youth"
2020,"Aged 35 to 44 years",1,0,"White","Not a youth"
2020,"Aged 18 to 24 years",1,1,"Latino","Not a youth"
2020,"Aged 18 to 24 years",1,0,"Latino","Not a youth"
2020,"Aged 18 to 24 years",0,0,"Latino","Not a youth"
2021,"Aged 25 to 34 years",1,0,"White","Not a youth"
2020,"Aged 25 to 34 years",1,1,"South Asian","Not a youth"
2020,"Aged 25 to 34 years",0,0,"South Asian","Not a youth"
2020,"Aged 25 to 34 years",1,1,"South Asian","Not a youth"
2020,"Aged 25 to 34 years",1,0,"South Asian","Not a youth"
2021,"Aged 25 to 34 years",1,0,"Unknown or Legacy","Not a youth"
2021,"Aged 25 to 34 years",1,0,"East/Southeast Asian","Not a youth"
2021,"Aged 25 to 34 years",0,0,"East/Southeast Asian","Not a youth"
2021,"Aged 25 to 34 years",0,0,"East/Southeast Asian","Not a youth"
2020,"Aged 55 to 64 years",0,0,"White","Not a youth"
2021,"Aged 25 to 34 years",0,0,"White","Not a youth"
2020,"Aged 25 to 34 years",0,1,"White","Not a youth"
2021,"Aged 55 to 64 years",0,0,"White","Not a youth"
2021,"Aged 35 to 44 years",1,0,"White","Not a youth"
2021,"Aged 35 to 44 years",0,0,"White","Not a youth"
2021,"Aged 35 to 44 years",1,1,"White","Not a youth"
2021,"Aged 25 to 34 years",1,0,"Unknown or Legacy","Not a youth"
2021,"Aged 35 to 44 years",1,1,"White","Not a youth"
2021,"Aged 35 to 44 years",1,0,"White","Not a youth"
2020,"Aged 35 to 44 years",1,0,"Black","Not a youth"
2020,"Aged 18 to 24 years",1,0,"Black","Not a youth"
2020,"Aged 25 to 34 years",1,0,"Black","Not a youth"
2020,"Aged 25 to 34 years",1,0,"Black","Not a youth"
2021,"Aged 18 to 24 years",1,0,"Black","Not a youth"
2020,"Aged 35 to 44 years",0,0,"Unknown or Legacy","Not a youth"
2021,"Aged 18 to 24 years",0,0,"White","Not a youth"
2020,"Aged 25 to 34 years",0,0,"Middle-Eastern","Not a youth"
2020,"Aged 45 to 54 years",1,0,"East/Southeast Asian","Not a youth"
2020,"Aged 45 to 54 years",1,1,"South Asian","Not a youth"
2021,"Aged 55 to 64 years",1,0,"East/Southeast Asian","Not a youth"
2021,"Aged 25 to 34 years",1,0,"White","Not a youth"
2020,"Aged 25 to 34 years",0,0,"Middle-Eastern","Not a youth"
2020,"Aged 25 to 34 years",1,1,"White","Not a youth"
2020,"Aged 25 to 34 years",1,0,"White","Not a youth"
2021,"Aged 25 to 34 years",0,0,"White","Not a youth"
2020,"Aged 45 to 54 years",0,0,"Unknown or Legacy","Not a youth"
2020,"Aged 45 to 54 years",0,0,"Unknown or Legacy","Not a youth"
2021,"Aged 45 to 54 years",0,0,"Unknown or Legacy","Not a youth"
2021,"Aged 45 to 54 years",0,0,"Unknown or Legacy","Not a youth"
2021,"Aged 45 to 54 years",0,0,"Unknown or Legacy","Not a youth"
2021,"Aged 45 to 54 years",0,0,"Unknown or Legacy","Not a youth"
2020,"Aged 18 to 24 years",0,0,"Black","Not a youth"
2020,"Aged 18 to 24 years",0,1,"Black","Not a youth"
2020,"Aged 18 to 24 years",1,0,"Black","Not a youth"
2020,"Aged 18 to 24 years",1,0,"Black","Not a youth"
2020,"Aged 18 to 24 years",0,0,"Black","Not a youth"
2020,"Aged 18 to 24 years",1,1,"Black","Not a youth"
2020,"Aged 18 to 24 years",1,0,"Black","Not a youth"
2020,"Aged 18 to 24 years",1,0,"Black","Not a youth"
2020,"Aged 18 to 24 years",1,1,"Black","Not a youth"
2020,"Aged 18 to 24 years",0,0,"Black","Not a youth"
2020,"Aged 18 to 24 years",0,0,"Black","Not a youth"
2020,"Aged 18 to 24 years",1,0,"Black","Not a youth"
2020,"Aged 18 to 24 years",0,0,"Black","Not a youth"
2021,"Aged 18 to 24 years",0,0,"Black","Not a youth"
2021,"Aged 18 to 24 years",1,0,"Black","Not a youth"
2021,"Aged 18 to 24 years",1,0,"Black","Not a youth"
2021,"Aged 25 to 34 years",1,0,"Black","Not a youth"
2020,"Aged 35 to 44 years",0,0,"Unknown or Legacy","Not a youth"
2020,"Aged 25 to 34 years",1,0,"South Asian","Not a youth"
2021,"Aged 18 to 24 years",1,0,"White","Not a youth"
2021,"Aged 45 to 54 years",0,0,"White","Not a youth"
2020,"Aged 35 to 44 years",1,0,"Black","Not a youth"
2020,"Aged 55 to 64 years",0,0,"White","Not a youth"
2020,"Aged 25 to 34 years",1,0,"Black","Not a youth"
2021,"Aged 25 to 34 years",0,0,"Black","Not a youth"
2021,"Aged 25 to 34 years",1,0,"Black","Not a youth"
2021,"Aged 25 to 34 years",0,0,"Black","Not a youth"
2021,"Aged 25 to 34 years",1,0,"Black","Not a youth"
2021,"Aged 25 to 34 years",0,0,"Black","Not a youth"
2021,"Aged 25 to 34 years",1,0,"Black","Not a youth"
2021,"Aged 25 to 34 years",1,0,"Black","Not a youth"
2020,"Aged 35 to 44 years",0,0,"White","Not a youth"
2021,"Aged 25 to 34 years",0,0,"Black","Not a youth"
2021,"Aged 25 to 34 years",0,0,"Black","Not a youth"
